model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
MLP,fold_0,0.9631286096633329,0.9585152838427947,"[[360  12]
 [ 19 439]]",0.9658965896589659,46.94809675216675,0.0,0.03734939759036149,0.9876773711725167,0.9626506024096385,0.9733924611973392
MLP,fold_1,0.9550187054422249,0.9584245076586433,"[[354  18]
 [ 19 438]]",0.9594742606790799,32.31167006492615,0.018140554428100586,0.04463208685162845,0.9873835632590496,0.9553679131483716,0.9605263157894737
MLP,fold_2,0.9647714171431261,0.9671772428884027,"[[358  14]
 [ 15 442]]",0.9682365826944141,41.50366163253784,0.0,0.0349819059107358,0.9872865511653994,0.9650180940892642,0.9692982456140351
MLP,fold_3,0.95964506717489,0.9649890590809628,"[[355  17]
 [ 16 441]]",0.9639344262295081,35.0303840637207,0.013087987899780273,0.039806996381182125,0.9872643276314147,0.9601930036188179,0.962882096069869
MLP,fold_4,0.964677301710548,0.9562363238512035,"[[362  10]
 [ 20 437]]",0.9668141592920354,41.27696180343628,0.0,0.03618817852834744,0.9880628767285191,0.9638118214716526,0.9776286353467561
MLP,fold_5,0.9603897173930955,0.9585152838427947,"[[357  14]
 [ 19 439]]",0.9637760702524698,38.68996214866638,0.0,0.039806996381182125,0.9874645222327342,0.9601930036188179,0.9690949227373068
MLP,fold_6,0.9598777057168753,0.962882096069869,"[[355  16]
 [ 17 441]]",0.9639344262295081,32.433754682540894,0.0036373138427734375,0.039806996381182125,0.9874780866516404,0.9601930036188179,0.9649890590809628
MLP,fold_7,0.9707270565802328,0.9737991266375546,"[[359  12]
 [ 12 446]]",0.9737991266375546,33.728065490722656,0.015573740005493164,0.02895054282267795,0.9858643982987241,0.971049457177322,0.9737991266375546
MLP,fold_8,0.9682199649242575,0.9606986899563319,"[[362   9]
 [ 18 440]]",0.9702315325248071,46.82408142089844,0.007294893264770508,0.03256936067551264,0.9873496993987976,0.9674306393244874,0.9799554565701559
MLP,fold_9,0.9576942996033381,0.9585152838427947,"[[355  16]
 [ 19 439]]",0.9616648411829134,25.41398549079895,0.015554666519165039,0.04221954161640529,0.9882061563863663,0.9577804583835947,0.9648351648351648
