model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
SVM,fold_0,0.9544771564070057,0.9519650655021834,"[[356  16]
 [ 22 436]]",0.9582417582417583,5.478912591934204,0.15822553634643555,0.04578313253012045,0.961662932536719,0.9542168674698795,0.9646017699115044
SVM,fold_1,0.947610056233971,0.9409190371991247,"[[355  17]
 [ 27 430]]",0.9513274336283186,5.979058265686035,0.1568160057067871,0.053075995174909574,0.9523641080061314,0.9469240048250904,0.9619686800894854
SVM,fold_2,0.9512364414954942,0.9562363238512035,"[[352  20]
 [ 20 437]]",0.9562363238512035,5.4105730056762695,0.1487889289855957,0.04825090470446325,0.957497195562757,0.9517490952955368,0.9562363238512035
SVM,fold_3,0.9427337003835203,0.936542669584245,"[[353  19]
 [ 29 428]]",0.9469026548672567,4.625450134277344,0.14144277572631836,0.0579010856453559,0.9569234611062555,0.9420989143546441,0.9574944071588367
SVM,fold_4,0.9513923201807016,0.9431072210065645,"[[357  15]
 [ 26 431]]",0.9545957918050941,5.054897785186768,0.10989665985107422,0.049457177322074775,0.9632431154709845,0.9505428226779252,0.9663677130044843
SVM,fold_5,0.9547428759754706,0.9606986899563319,"[[352  19]
 [ 18 440]]",0.9596510359869138,5.182268857955933,0.11709117889404297,0.04463208685162845,0.9558893093661306,0.9553679131483716,0.9586056644880174
SVM,fold_6,0.9533951670805918,0.9606986899563319,"[[351  20]
 [ 18 440]]",0.9586056644880174,4.5573718547821045,0.12640666961669922,0.045838359469240086,0.9620586025544703,0.9541616405307599,0.9565217391304348
SVM,fold_7,0.9538394990524841,0.9454148471615721,"[[357  14]
 [ 25 433]]",0.9569060773480664,4.772424221038818,0.1254127025604248,0.04704463208685161,0.9615961971478609,0.9529553679131484,0.9686800894854586
SVM,fold_8,0.9568586023846797,0.9541484716157205,"[[356  15]
 [ 21 437]]",0.9604395604395604,4.786862850189209,0.1064145565032959,0.043425814234016924,0.9559118236472945,0.9565741857659831,0.9668141592920354
SVM,fold_9,0.9465889429018703,0.9497816593886463,"[[350  21]
 [ 23 435]]",0.9518599562363239,4.886898756027222,0.12461614608764648,0.053075995174909574,0.965326099775917,0.9469240048250904,0.9539473684210527
