model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
KNN,fold_0,0.9685871249471757,0.9694323144104804,"[[360  12]
 [ 14 444]]",0.9715536105032824,0.2507057189941406,0.23946762084960938,0.031325301204819245,0.9879263131690316,0.9686746987951808,0.9736842105263158
KNN,fold_1,0.958956848074163,0.9474835886214442,"[[361  11]
 [ 24 433]]",0.9611542730299667,0.3001675605773926,0.2086353302001953,0.04221954161640529,0.9876193845065441,0.9577804583835947,0.9752252252252253
KNN,fold_2,0.9547687113244394,0.9606126914660832,"[[353  19]
 [ 18 439]]",0.9595628415300546,0.24553823471069336,0.22461152076721191,0.04463208685162845,0.9865387012339524,0.9553679131483716,0.9585152838427947
KNN,fold_3,0.9622391237853227,0.9540481400437637,"[[361  11]
 [ 21 436]]",0.9646017699115045,0.1894979476928711,0.20528173446655273,0.0386007237635706,0.9887626420277188,0.9613992762364294,0.9753914988814317
KNN,fold_4,0.959050963506741,0.9584245076586433,"[[357  15]
 [ 19 438]]",0.9626373626373627,0.22182607650756836,0.2874574661254883,0.04101326899879376,0.9884174447464839,0.9589867310012062,0.9668874172185431
KNN,fold_5,0.9576942996033381,0.9585152838427947,"[[355  16]
 [ 19 439]]",0.9616648411829134,0.2479403018951416,0.22773480415344238,0.04221954161640529,0.9884105960264901,0.9577804583835947,0.9648351648351648
KNN,fold_6,0.9666839298955967,0.9737991266375546,"[[356  15]
 [ 12 446]]",0.970620239390642,0.18180322647094727,0.23486709594726562,0.03256936067551264,0.9879789631855748,0.9674306393244874,0.9674620390455532
KNN,fold_7,0.9698913593615744,0.9694323144104804,"[[360  11]
 [ 14 444]]",0.9726177437020812,0.24739575386047363,0.22014808654785156,0.030156815440289475,0.9866149612209156,0.9698431845597105,0.9758241758241758
KNN,fold_8,0.9644328440777317,0.9585152838427947,"[[360  11]
 [ 19 439]]",0.9669603524229075,0.22342443466186523,0.2204136848449707,0.03618817852834744,0.9881012024048096,0.9638118214716526,0.9755555555555555
KNN,fold_9,0.9563465907084594,0.9585152838427947,"[[354  17]
 [ 19 439]]",0.9606126914660832,0.2511777877807617,0.2386486530303955,0.043425814234016924,0.9879702795140937,0.9565741857659831,0.9627192982456141
