model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
DTR,fold_0,0.9377611870216462,0.9454148471615721,"[[346  26]
 [ 25 433]]",0.9443838604143948,0.875352144241333,0.01602792739868164,0.06144578313253013,0.9253174010455564,0.9385542168674699,0.9433551198257081
DTR,fold_1,0.9245723630032234,0.9190371991247265,"[[346  26]
 [ 37 420]]",0.930232558139535,0.8334872722625732,0.01681685447692871,0.07599517490952956,0.9306685532366467,0.9240048250904704,0.9417040358744395
DTR,fold_2,0.9271046563610268,0.9321663019693655,"[[343  29]
 [ 31 426]]",0.9342105263157896,0.7319128513336182,0.008154630661010742,0.07237635705669476,0.9290788981677677,0.9276236429433052,0.9362637362637363
DTR,fold_3,0.9316369026611138,0.9277899343544858,"[[348  24]
 [ 33 424]]",0.9370165745856354,0.6624443531036377,0.007699489593505859,0.06875753920386007,0.9315769759021101,0.9312424607961399,0.9464285714285714
DTR,fold_4,0.9378573445330698,0.9321663019693655,"[[351  21]
 [ 31 426]]",0.9424778761061947,0.6414008140563965,0.008348226547241211,0.06272617611580222,0.9275499349958634,0.9372738238841978,0.9530201342281879
DTR,fold_5,0.9306724420014361,0.9475982532751092,"[[339  32]
 [ 24 434]]",0.9393939393939394,0.7545664310455322,0.015594482421875,0.06755126658624844,0.929872280037843,0.9324487334137516,0.9313304721030042
DTR,fold_6,0.92688532115491,0.9454148471615721,"[[337  34]
 [ 25 433]]",0.9362162162162162,0.6433305740356445,0.01562047004699707,0.07117008443908324,0.9310042574505385,0.9288299155609168,0.9271948608137045
DTR,fold_7,0.9338121917630857,0.9323144104803494,"[[347  24]
 [ 31 427]]",0.9394939493949396,0.6699173450469971,0.015625953674316406,0.06634499396863691,0.9313234926194646,0.9336550060313631,0.9467849223946785
DTR,fold_8,0.936319283419061,0.9454148471615721,"[[344  27]
 [ 25 433]]",0.9433551198257081,0.7040588855743408,0.017393827438354492,0.06272617611580222,0.9289829659318637,0.9372738238841978,0.941304347826087
DTR,fold_9,0.9338121917630857,0.9323144104803494,"[[347  24]
 [ 31 427]]",0.9394939493949396,0.6930234432220459,0.025252103805541992,0.06634499396863691,0.9302983842434249,0.9336550060313631,0.9467849223946785
