model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
LVQ,fold_0,0.8197750856928205,0.6986899563318777,"[[350  22]
 [138 320]]",0.8,19.387874603271484,0.06421327590942383,0.19277108433734935,0.8343291013193925,0.8072289156626506,0.935672514619883
LVQ,fold_1,0.82732171007741,0.6761487964989059,"[[364   8]
 [148 309]]",0.7984496124031008,24.38410758972168,0.25132250785827637,0.18817852834740656,0.8415281216837637,0.8118214716525934,0.9747634069400631
LVQ,fold_2,0.8514858473918261,0.7352297592997812,"[[360  12]
 [121 336]]",0.8347826086956521,64.53900909423828,0.2672119140625,0.16043425814234014,0.8328555403215755,0.8395657418576599,0.9655172413793104
LVQ,fold_3,0.8464536128561682,0.7439824945295405,"[[353  19]
 [117 340]]",0.8333333333333334,65.63259649276733,0.28258228302001953,0.16405307599517494,0.847546510176052,0.8359469240048251,0.947075208913649
LVQ,fold_4,0.8661149149431778,0.7483588621444202,"[[366   6]
 [115 342]]",0.8496894409937888,69.17915344238281,0.28308844566345215,0.14595898673100116,0.8463538588819288,0.8540410132689988,0.9827586206896551
LVQ,fold_5,0.7828864511117126,0.5873362445414847,"[[363   8]
 [189 269]]",0.7319727891156462,67.18653130531311,0.26735901832580566,0.23763570566948133,0.8028618732261117,0.7623642943305187,0.9711191335740073
LVQ,fold_6,0.8354912369495875,0.7248908296943232,"[[351  20]
 [126 332]]",0.8197530864197532,51.53185224533081,0.08655929565429688,0.17611580217129075,0.8369646882043577,0.8238841978287093,0.9431818181818182
LVQ,fold_7,0.8597499970574042,0.7248908296943232,"[[369   2]
 [126 332]]",0.8383838383838383,39.007075786590576,0.08343195915222168,0.15440289505428229,0.8510132599449587,0.8455971049457177,0.9940119760479041
LVQ,fold_8,0.8627838133688014,0.7794759825327511,"[[351  20]
 [101 357]]",0.8550898203592814,19.059354782104492,0.0969686508178711,0.14595898673100116,0.8509519038076152,0.8540410132689988,0.946949602122016
LVQ,fold_9,0.8352205181322756,0.6812227074235808,"[[367   4]
 [146 312]]",0.8062015503875969,21.283557891845703,0.1039433479309082,0.18094089264173707,0.8223847151786767,0.8190591073582629,0.9873417721518988
