model_name,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
KNN,0.951432987778047,0.9671094244149273,"[[1107   76]
 [  52 1529]]",0.9598242310106718,0.07350945472717285,0.40640830993652344,0.04630969609261937,0.9891448558678084,0.9536903039073806,0.9526479750778816
LVQ,0.8649246680920889,0.9411764705882353,"[[ 933  250]
 [  93 1488]]",0.8966556191623982,9.77421259880066,0.13406634330749512,0.12409551374819106,0.8828850560849113,0.875904486251809,0.856156501726122
DTR,0.9372814214443174,0.9607843137254902,"[[1081  102]
 [  62 1519]]",0.9487820112429731,0.32541465759277344,0.0005521774291992188,0.05933429811866864,0.9381256784465083,0.9406657018813314,0.9370758790869833
SVM,0.9485778659621894,0.9690069576217584,"[[1098   85]
 [  49 1532]]",0.9580988117573485,2.236806631088257,0.19320011138916016,0.04848046309696097,0.9635749608008685,0.951519536903039,0.9474335188620903
RF,0.9607166783491408,0.9797596457938014,"[[1114   69]
 [  32 1549]]",0.9684276336355111,1.5762207508087158,0.08583831787109375,0.0365412445730825,0.9798576769991557,0.9634587554269175,0.9573547589616811
XGB,0.9671570097785249,0.9841872232764073,"[[1124   59]
 [  25 1556]]",0.9737171464330412,1.5968637466430664,0.01578068733215332,0.03039073806078152,0.9890242431552285,0.9696092619392185,0.9634674922600619
LGBM,0.9648338816343487,0.9829222011385199,"[[1120   63]
 [  27 1554]]",0.971857410881801,0.9330565929412842,0.003996610641479492,0.03256150506512301,0.9901097575684478,0.967438494934877,0.961038961038961
MLP,0.9629392890960545,0.9765970904490828,"[[1123   60]
 [  37 1544]]",0.9695447409733124,21.59515690803528,0.0053310394287109375,0.0350940665701881,0.9893860812929682,0.9649059334298119,0.9625935162094763
Heterogêneo,0.9646240248342132,0.9816571790006325,"[[1121   62]
 [  29 1552]]",0.9715179968701095,3.1819868087768555,0.45844268798828125,0.03292329956584661,0.9893860812929682,0.9670767004341534,0.9615861214374225
ANNs,0.9628358310302552,0.9746995572422518,"[[1125   58]
 [  40 1541]]",0.9691823899371069,87.29229807853699,0.015790700912475586,0.0354558610709117,0.9909540465565071,0.9645441389290883,0.9637273295809882
